cluster,angle,major,minor,pixel,size,diameter,center_x,center_y,color_variance
73,0,0,0,5514,15677.79320616,141.2854779666445,1895.536194958288,421.6108548784911,539.3450904276501
74,0,0,0,8004,22757.53660176,170.2227820889986,80.79645132433784,492.531562293853,427.4336319315355
75,0,0,0,7922,22524.38842568,169.3485815250626,868.2152700075738,525.9190113607674,962.8758602158728
76,0,0,0,10396,29558.63949424,193.99801208424003,1562.9249283762986,615.286367468257,1256.6869549802427
78,0,0,0,4054,11526.61836376,121.14514566341381,2050.6804071040947,399.5927977306364,205.54008064294334
79,0,0,0,4314,12265.868678159999,124.96955249804542,262.7923547519703,442.87960917941587,100.15234831813017
80,0,0,0,1669,4745.41836436,77.73065236967722,725.8883887357699,399.33944230077884,1289.3369723369908
81,0,0,0,3009,8555.40075396,104.36989298163958,2544.7358188767034,414.0498003323363,489.27466741240767
82,0,0,0,6978,19840.34113032,158.938689148234,164.29068512467757,563.1009079965605,449.6400725007169
83,0,0,0,1332,3787.23622608,69.44104642283708,1448.823042942943,431.94316966966966,92.07766493971448
84,0,0,0,2046,5817.3313202399995,86.06309477212622,2446.0803434017594,425.06085630498535,32.21104551331115
85,0,0,0,2356,6698.74515664,92.35316580138003,132.2736584040747,448.42542283531407,50.61555872950902
86,0,0,0,5333,15163.16125652,138.9472437114079,529.8908004125257,492.77890748171757,1438.6994096422234
87,0,0,0,4641,13195.61811204,129.61937662816032,431.10985658263303,478.83102421891834,468.7021445543063
88,0,0,0,1755,4989.9396222,79.708145460962,925.1261838176639,509.23912558404555,45.13361092848272
89,0,0,0,5882,16724.11672808,145.92397599078194,1618.227105032302,538.6961792927575,57.63502457546298
90,0,0,0,1555,4421.2855342,75.02903158583995,247.2131855948553,446.0329733762058,3.874895420849661
91,0,0,0,9882,28097.19848808,189.1413868282045,2129.136858490184,586.12530410848,603.3446144468297
92,0,0,0,2884,8199.99194896,102.1790292375389,612.8319667128987,552.9011211511788,45.11399579390621
93,0,0,0,1440,4094.3094336,72.20136203176327,2278.911009722222,480.1747243055555,9.913611111111111
94,0,0,0,6685,19007.262891399998,155.56605912122248,2301.8973275691847,536.582639670905,436.93672767876376
95,0,0,0,1664,4731.20201216,77.61413206377227,723.7790564903846,488.71527776442304,38.195630316198226
96,0,0,0,6412,18231.05006128,152.35646976767381,1280.22184135995,521.1015439176543,56.52475298771136
97,0,0,0,13745,39080.7521978,223.06761113221836,2451.6907588359404,625.0427505856675,1146.8715165500175
98,0,0,0,3282,9331.61358408,109.00174049728967,621.5378411943936,573.4857651432053,72.7356345304527
99,0,0,0,3077,8748.74314388,105.54262521615922,2167.1434768930776,566.4070196295093,101.1231759342513
